nrow,id,dia,aerolinea,destino,region,dest_size,area_abordaje,fecha_salida,espera_min,limpieza,seguridad,satisfaccion
0,1351,martes,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,2018-12-31,115.0,Limpio,Neutral,Muy satisfecho
1,373,viernes,ALASKA,SAN JOSE DEL CABO,Canada / Mexico,Small,Gates 50-59,2018-12-31,135.0,Limpio,Muy seguro,Muy satisfecho
2,2820,jueves,DELTA,LOS ÁNGELES,oeste de EE. UU.,  Hub ,Gates 40-48,2018-12-31,70.0000000000001,Promedio,Algo seguro,Neutral
3,1157,martes,SUDOESTE,LOS ÁNGELES,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,190.0,Limpio,Muy seguro,Algo satisfecho
4,2992,miércoles,AMERICAN,MIAMI,East US,Hub,Gates 50-59,2018-12-31,559.0,Inaceptable,Muy seguro,Algo satisfecho
5,634,jueves,ALASKA,NEWARK,este de EE. UU.,Hub,Gates 50-59,2018-12-31,140.0,Algo limpio,Muy seguro,Muy satisfecho
6,2578,sábado,JETBLUE,LONG BEACH,oeste de EE. UU.,Small,Gates 1-12,2018-12-31,62.99999999999989,Limpio,Muy seguro,Algo satisfecho
8,2592,sábado,AEROMEXICO,CIUDAD DE MÉXICO,Canadá / México,Hub,Gates 1-12,2018-12-31,215.0,Algo limpio,Muy seguro,Neutral
9,919,viernes,AIR CANADA,TORONTO,Canadá / México,Hub,Gates 91-102,2018-12-31,70.0000000000001,Algo limpio,Algo seguro,Algo satisfecho
10,3028,martes,UNITED,PORTLAND,Oeste de EE. UU.,Medium,Gates 70-90,2018-12-31,180.0,Promedio,Muy seguro,Neutral
11,1129,martes,SUDOESTE,SAN DIEGO,oeste de EE. UU.,Medium,Gates 20-39,2018-12-31,540.0,Limpio,Muy seguro,Algo satisfecho
12,2648,sábado,JETBLUE,BOSTON,este de EE. UU.,Grande,Gates 1-12,2018-12-31,192.0,Algo limpio,Muy seguro,Algo satisfecho
13,3104,martes,UNITED,SPOKANE,oeste de EE. UU.,   Small,Gates 70-90,2018-12-31,107.0,Limpio,Muy seguro,Algo satisfecho
14,2589,sábado,INTERJET,GUADALAJARA,Canadá / México,Medium,Gates 1-12,2018-12-31,155.0,Algo limpio,Algo seguro,Algo satisfecho
15,2345,martes,DELTA,MINNEAPOLIS-ST. PAUL,Medio Oeste de EE. UU.,Hub,Gates 40-48,2018-12-31,155.0,Algo limpio,Algo seguro,Algo satisfecho
16,390,viernes,ALASKA,LOS ÁNGELES,oeste de EE. UU.,  Hub ,Gates 50-59,2018-12-31,175.0,Algo limpio,Neutral,Algo satisfecho
17,954,martes,ALASKA,NUEVA YORK-JFK,EAST US,Hub,Gates 50-59,2018-12-31,100.0,Limpio,Muy seguro,Muy satisfecho
18,2913,viernes,TURKISH AIRLINES,ESTAMBUL,Medio Oriente,Hub,Gates 91-102,2018-12-31,225.0,Limpio,Muy seguro,Algo satisfecho
19,803,Domingo,ALASKA,BALTIMORE,Este de EE. UU.,Medium,Gates 50-59,2018-12-31,155.0,Limpio,Muy seguro,Muy satisfecho
20,767,jueves,AIR CANADA,TORONTO,Canadá / México,Hub,Gates 91-102,2018-12-31,115.0,Promedio,Neutral,Algo satisfecho
21,1214,martes,SUDOESTE,LAS VEGAS,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,59.99999999999989,Promedio,Algo seguro,Algo satisfecho
22,1373,martes,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,2018-12-31,145.0,Limpio,Muy seguro,Algo satisfecho
23,1263,jueves,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,2018-12-31,210.0,Promedio,Neutral,Neutral
24,2723,miércoles,AIR FRANCE / KLM,PARIS-DE GAULLE,Europa,Hub,Gates 1-12,2018-12-31,160.0,Algo limpio,Muy seguro,Algo satisfecho
25,3097,martes,UNITED,SPOKANE,oeste de EE. UU.,   Small,Gates 70-90,2018-12-31,604.0,Limpio,Muy seguro,Muy satisfecho
27,214,miércoles,AMERICAN,LOS ANGELES,oeste de EE. UU.,  Hub ,Gates 50-59,2018-12-31,100.0,Promedio,Algo seguro,Algo satisfecho
28,1372,martes,UNITED INTL,PARIS-DE GAULLE,eur,Hub,Gates 91-102,2018-12-31,205.0,Algo limpio,Muy seguro,Algo satisfecho
29,1956,martes,UNITED,BOSTON,Este de EE. UU.,Grande,Gates 70-90,2018-12-31,115.0,Algo limpio,Algo seguro,Algo satisfecho
30,1716,domingo,AIR FRANCE / KLM,PARIS-DE GAULLE,Europa,Hub,Gates 1-12,2018-12-31,510.0,Limpio,Neutral,Muy satisfecho
31,1487,miércoles,HAWAIIAN AIR,HONOLULU,Oeste de EE. UU.,Medium,Gates 1-12,2018-12-31,135.0,Limpio,Muy seguro,Algo satisfecho
32,842,martes,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,145.0,Algo limpio,Muy seguro,Algo satisfecho
33,930,viernes,AIR CANADA,TORONTO,Canadá / México,Hub,Gates 91-102,2018-12-31,270.0,Promedio,Algo seguro,Algo satisfecho
34,3064,Domingo,COPA,CIUDAD DE PANAMÁ,Centroamérica / Sudamérica,Medium,Gates 1-12,2018-12-31,173.0,Promedio,Neutral,Neutral
35,743,domingo,ALASKA,NUEVA YORK-JFK,este de EE. UU.,Hub,Gates 50-59,2018-12-31,100.0,Algo limpio,Muy seguro,Algo satisfecho
36,2099,lunes,UNITED INTL,CIUDAD DE MÉXICO,Canadá / México,Hub,Gates 91-102,2018-12-31,190.0,Limpio,Muy seguro,Neutral
37,315,jueves,UNITED,SAN DIEGO,oeste de EE. UU.,Medium,Gates 70-90,2018-12-31,92.00000000000021,Algo limpio,Muy seguro,Algo satisfecho
38,2216,jueves,SUDOESTE,PHOENIX,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,135.0,Algo limpio,Muy seguro,Muy satisfecho
39,3121,domingo,ALASKA,NEWARK,este de EE. UU.,Hub,Gates 50-59,2018-12-31,125.0,Limpio,Muy seguro,Neutral
41,2890,domingo,WOW,REYKJAVIK,Europa,Small,Gates 1-12,2018-12-31,145.0,Promedio,Neutral,Algo satisfecho
42,3046,martes,AMERICAN,LOS ANGELES,oeste de EE. UU.,  Hub ,Gates 50-59,2018-12-31,120.0,Promedio,Muy seguro,Muy satisfecho
43,3183,jueves,DELTA,LOS ANGELES,oeste de EE. UU.,  Hub ,Gates 40-48,2018-12-31,900.0,Algo limpio,Algo seguro,Algo satisfecho
44,2288,martes,UNITED,SAN ANTONIO,Midwest US,Medium,Gates 70-90,2018-12-31,150.0,Limpio,Muy seguro,Muy satisfecho
45,2740,miércoles,AIR FRANCE / KLM,PARIS-DE GAULLE,eur,Hub,Gates 1-12,2018-12-31,330.0,Promedio,Muy inseguro,Algo satisfecho
46,1570,miércoles,UNITED INTL,HONG KONG,Asia,Hub,Gates 91-102,2018-12-31,150.0,Limpio,Algo seguro,Algo satisfecho
47,3228,jueves,ALASKA,PORTLAND,oeste de EE. UU.,Medium,Gates 50-59,2018-12-31,110.0,Limpio,Muy seguro,Algo satisfecho
48,1140,martes,SUDOESTE,LOS ÁNGELES,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,415.0,Algo limpio,Muy seguro,Algo satisfecho
49,349,viernes,ALASKA,SAN DIEGO,Oeste de EE. UU.,Medium,Gates 50-59,2018-12-31,76.0000000000001,Limpio,Muy seguro,Muy satisfecho
50,1572,miércoles,UNITED INTL,HONG KONG,Asia,Hub,Gates 91-102,2018-12-31,150.0,Algo limpio,Neutral,Muy satisfecho
52,1635,jueves,KOREAN AIR,SEÚL,Asia,Hub,Gates 1-12,2018-12-31,210.0,Algo sucio,Algo seguro,Neutral
56,524,jueves,EMIRATES,DUBAI,Medio Oriente,Hub,Gates 1-12,2018-12-31,165.0,Algo limpio,Algo seguro,Neutral
57,1139,martes,SUDOESTE,SAN DIEGO,oeste de EE. UU.,Medium,Gates 20-39,2018-12-31,120.0,Promedio,Muy seguro,Algo satisfecho
58,314,jueves,UNITED,SAN DIEGO,oeste de EE. UU.,Medium,Gates 70-90,2018-12-31,122.0,Limpio,Muy seguro,Muy satisfecho
59,558,jueves,EMIRATES,DUBAI,Medio Oriente,Hub,Gates 1-12,2018-12-31,225.0,Algo limpio,Algo seguro,Algo satisfecho
60,262,viernes,AIR CANADA,TORONTO,Canadá / México,Hub,Gates 91-102,2018-12-31,175.0,Algo limpio,Algo seguro,Algo satisfecho
61,2537,martes,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,115.0,Limpio,Muy seguro,Muy satisfecho
62,1713,domingo,AIR FRANCE / KLM,PARIS-DE GAULLE,Europa,Hub,Gates 1-12,2018-12-31,135.0,Promedio,Muy seguro,Algo satisfecho
63,407,sábado,UNITED,PHOENIX,oeste de EE. UU.,  Hub ,Gates 70-90,2018-12-31,110.0,Limpio,Muy seguro,Algo satisfecho
64,3212,jueves,AMERICAN,LOS ANGELES,oeste de EE. UU.,  Hub ,Gates 50-59,2018-12-31,90.0,Algo limpio,Algo seguro,Algo insatisfecho
65,450,domingo,UNITED,INDIANAPOLIS,Medio Oeste de EE. UU.,Medium,Gates 60-69,2018-12-31,67.9999999999999,Limpio,Algo seguro,Muy satisfecho
66,1477,miércoles,AVIANCA,SAN SALVADOR,Centro / Sudamérica,Small,Gates 1-12,2018-12-31,155.0,Limpio,Muy seguro,Muy satisfecho
67,3151,jueves,DELTA,SALT LAKE CITY,oeste de EE. UU.,Medium,Gates 40-48,2018-12-31,14.9999999999999,Medio,Muy seguro,Neutral
68,2257,miércoles,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,2018-12-31,64.9999999999999,Limpio,Muy seguro,Muy satisfecho
69,2400,miércoles,UNITED INTL,BEIJING,Asia,Hub,Gates 91-102,2018-12-31,205.0,Limpio,Muy seguro,Algo satisfecho
70,2230,miércoles,AER LINGUS,DUBLIN,Europa,grande,Gates 91-102,2018-12-31,300.0,Promedio,Algo seguro,Neutral
71,2865,miércoles,UNITED,WASHINGTON DC-DULLES,Este de EE. UU.,Medium,Gates 70-90,2018-12-31,77.0,Promedio,Muy seguro,Algo satisfecho
72,387,viernes,ALASKA,INDIANAPOLIS,Medio Oeste de EE. UU.,Medium,Gates 50-59,2018-12-31,160.0,Limpio,Muy seguro,Muy satisfecho
73,1957,viernes,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,185.0,Algo limpio,Neutral,Algo satisfecho
74,2526,martes,JETBLUE,LONG BEACH,oeste de EE. UU.,Small,Gates 1-12,2018-12-31,60.0,Algo limpio,Algo seguro,Algo satisfecho
75,3041,martes,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,185.0,Algo limpio,Muy seguro,Algo satisfecho
76,813,Domingo,ALASKA,PORTLAND,Oeste de EE. UU.,Medium,Gates 50-59,2018-12-31,140.0,Algo limpio,Muy seguro,Algo satisfecho
77,1523,miércoles,JETBLUE,NUEVA YORK-JFK,ESTE de EE. UU.,Hub,Gates 1-12,2018-12-31,81.0,Algo limpio,Muy seguro,Algo satisfecho
78,2796,domingo,WOW,REYKJAVIK,Europa,Small,Gates 1-12,2018-12-31,160.0,Algo limpio,Algo seguro,Algo satisfecho
79,3255,martes,UNITED,SAN DIEGO,Oeste de EE. UU.,Medium,Gates 70-90,2018-12-31,105.0,Promedio,Algo seguro,Neutral
80,2042,viernes,BRITISH AIRWAYS,LONDON HEATHROW,Europa,Hub,Gates 1-12,2018-12-31,180.0,Algo limpio,Muy seguro,Algo satisfecho
81,3062,domingo,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,2018-01-01,215.0,Limpio,Algo seguro,Algo satisfecho
