ticket,fecha,cafeteria,producto,categoria,precio,cantidad,metodo_pago,turno,campus,satisfaccion,observaciones,empleado_captura
CF-00389,2026-04-29 12:45:00,Cafetería Central,Café,Snack,35,4,efectivo ,Tarde,CU,Muy Alta,revisar,emp01
CF-00440,2026-04-28 16:45:00,cafeteria anexo,Ensalada,BEBIDA,12,1,,Mañana, ciudad universitaria ,MEDIA,producto agotado,temporal
CF-00538,2026-03-05 10:45:00,Cafetería Anexo,Cafe,BEBIDA,,1,efectivo ,mañana , fes aragón ,Alta,,admin
CF-00264,2026-05-22 09:00:00,CAFETERIA CENTRAL,Galletas,Alimento,25,2,,MANANA,Ciudad Universitaria,Baja ,promoción,temporal
CF-00444,2026-03-24 17:45:00, cafeteria central ,agua ,ALIMENTO,60,2,,TARDE, ciudad universitaria ,Muy Alta,revisar,emp02
CF-00656,2026-04-01 09:45:00,Cafetería Central,ENSALADA,Alimento,18,3,efectivo ,TARDE, ciudad universitaria ,Baja ,,temporal
CF-00448,2026-05-23 10:00:00,Cafetería Anexo,Torta, snack ,12,1,tarjeta, tarde , ciudad universitaria ,alta ,producto agotado,temporal
CF-00267,2026-05-20 13:00:00,cafeteria anexo,ENSALADA, bebida ,15,2,tarjeta,MANANA, fes aragón ,MEDIA,promoción,emp02
CF-00655,2026-05-08 11:00:00, cafeteria central ,Torta, snack ,60,2,efectivo ,Noche,FES ARAGON,,revisar,emp02
CF-00146,2026-03-21 14:45:00,CAFETERÍA ANEXO,Ensalada,Snack,18,1,vale ,MANANA,Ciudad Universitaria,,revisar,temporal
CF-00709,2026-06-01 07:45:00,Cafetería Anexo,agua , snack ,25,3,Vale,mañana , ciudad universitaria ,MEDIA,producto agotado,emp02
CF-00220,2026-03-14 10:15:00,Cafetería Central, torta ,Alimento,60,2,TARJETA,MANANA, ciudad universitaria ,Media,,emp02
CF-00644,2026-05-14 17:45:00,CAFETERIA CENTRAL,ENSALADA,Alimento,,2,Efectivo, tarde , ciudad universitaria ,,sin observación,temporal
CF-00207,2026-05-08 19:15:00,Cafetería Anexo,CAFÉ,Bebida,25,2,Efectivo, tarde , fes aragón ,MEDIA,promoción,emp02
CF-00562,2026-03-12 14:30:00,Cafetería Anexo,CAFÉ,ALIMENTO,20,2,efectivo , tarde ,CU,,sin observación,emp01
CF-00254,2026-06-05 15:30:00, cafeteria central ,ENSALADA, bebida ,,4,Vale,TARDE, ciudad universitaria ,MEDIA,producto agotado,admin
CF-00287,2026-03-02 12:15:00,CAFETERÍA ANEXO,ENSALADA,ALIMENTO,45,1,efectivo ,Mañana,Ciudad Universitaria,,promoción,admin
CF-00015,2026-06-09 17:00:00,CAFETERIA CENTRAL,ENSALADA,ALIMENTO,15,3,, tarde , ciudad universitaria ,muy alta,revisar,emp02
CF-00120,2026-03-11 19:00:00,CAFETERÍA ANEXO,galletas, snack ,20,1,Vale, tarde ,Ciudad Universitaria,Muy Alta,,admin
CF-00277,2026-04-04 12:00:00,Cafetería Anexo,Ensalada,Alimento,,1,TARJETA,mañana , fes aragón ,,producto agotado,temporal
CF-00627,2026-05-23 19:30:00,Cafetería Anexo,Cafe,Bebida,15,1,Vale,mañana ,CU,,,temporal
CF-00455,2026-04-12 09:45:00,Cafetería Central,agua ,Snack,45,2,TARJETA,MANANA,FES Aragón,,,temporal
CF-00241,2026-03-16 16:00:00,Cafetería Anexo,Ensalada,ALIMENTO,35,1,vale ,Tarde,FES Aragón,alta ,producto agotado,emp02
CF-00635,2026-04-14 09:45:00,cafeteria anexo,Cafe,ALIMENTO,,1,, tarde ,FES ARAGON,Alta,promoción,emp01
CF-00133,2026-06-04 16:30:00,CAFETERIA CENTRAL,Café,Snack,25,1,efectivo ,Tarde, fes aragón ,Muy Alta,revisar,admin
CF-00297,2026-04-20 08:30:00,cafeteria anexo,Ensalada,ALIMENTO,,2,Tarjeta, tarde ,CU,muy alta,revisar,emp02
CF-00349,2026-03-23 11:00:00,CAFETERIA CENTRAL,Torta,BEBIDA,20,1,,TARDE,CU,Media,sin observación,emp02
CF-00637,2026-04-08 07:45:00,CAFETERÍA ANEXO, torta , snack ,25,2,tarjeta, tarde , fes aragón ,Muy Alta,promoción,emp02
CF-00276,2026-03-16 19:30:00,CAFETERÍA ANEXO,Ensalada, snack ,,1,efectivo , tarde ,Ciudad Universitaria,,,temporal
CF-00422,2026-03-18 19:00:00,Cafetería Anexo,Torta,Alimento,25,1,Efectivo, tarde , ciudad universitaria ,,sin observación,emp02
CF-00417,2026-05-02 08:15:00,cafeteria anexo, torta , snack ,15,3,TARJETA,Noche,Ciudad Universitaria,baja,producto agotado,emp01
