prestamo_id,fecha_prestamo,carrera,facultad,libro,autor,editorial,categoria,dias_prestamo,estatus,biblioteca,ciudad,observaciones,capturista
PB-00217,2026-05-04,DERECHO, ciudad universitaria ,Cálculo I,Witten,Alfaomega, ciencias sociales ,25,En préstamo,biblioteca central ,nezahualcóyotl ,libro dañado,temporal
PB-00154,2026-05-28,Derecho,FES ARAGON,Python para Todos,Stewart,UNAM,COMPUTACION,5,en préstamo ,biblioteca central ,NEZAHUALCOYOTL,sin observación,admin
PB-00522,2026-05-25,INGENIERIA EN COMPUTACION, ciudad universitaria ,Álgebra Lineal,Mendenhall,Pearson,Ciencias Sociales,5,VENCIDO, fes aragón ,CDMX,revisar,admin
PB-00255,2026-03-05,INGENIERIA EN COMPUTACION,FES ARAGON,Álgebra Lineal,Tanenbaum,PEARSON,Computación,7,en préstamo ,BIBLIOTECA CENTRAL,Ciudad de México,libro dañado,temporal
PB-00380,2026-06-01,Derecho, fes aragón ,Cálculo I,Date,,Ciencias Sociales,3,VENCIDO, fes aragón ,Ciudad de México,renovación,cap02
PB-00543,2026-04-07,derecho ,Ciudad Universitaria,Minería de Datos,Guido,Mcgraw-Hill,Ciencias Sociales,30,En préstamo, fes aragón ,Nezahualcóyotl,libro dañado,cap01
PB-00048,2026-03-12,comunicación ,Ciudad Universitaria,Cálculo I,Tanenbaum, pearson ,Ciencias Sociales,30,EN PRESTAMO,FES ARAGON,CDMX,libro dañado,temporal
PB-00070,2026-05-13,Derecho,FES ARAGON,Minería de Datos,Guido, pearson ,Ciencias Sociales,30,VENCIDO,biblioteca central ,NEZAHUALCOYOTL,sin observación,admin
PB-00113,2026-05-29,INGENIERIA EN COMPUTACION,FES Aragón,Minería de Datos,Grossman,McGraw Hill, ciencias sociales ,20,devuelto ,BIBLIOTECA CENTRAL,NEZAHUALCOYOTL,,cap01
PB-00559,2026-03-30, ing. computacion ,CU,Python para Todos,Tanenbaum, pearson ,COMPUTACION,20,Vencido,FES Aragón,NEZAHUALCOYOTL,,cap01
